,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
237,ANTE,AirNet Technology Inc.,13.80M,-0.40%,5119,918.00K
238,MDIA,MediaCo Holding Inc.,13.71M,-2.08%,4308,24.95M
239,LKCO,Luokung Technology Corp.,12.65M,-6.28%,55348,36.98M
240,UPXI,"Upexi, Inc.",10.03M,9.96%,40689,91.21M
241,MIMO,Airspan Networks Holdings Inc.,8.51M,1.75%,246894,112.81M
242,LDWY,"Lendway, Inc.",8.29M,0.83%,6728,23.57M
243,GDC,GD Culture Group Limited,7.96M,2.94%,46933,435.48K
244,VSME,VS Media Holdings Limited,7.90M,1.96%,321191,9.03M
245,LCFY,Locafy Limited,7.67M,-0.70%,15919,-
246,ASST,Asset Entities Inc.,7.52M,-7.73%,81356,259.15K
247,SLE,"Super League Enterprise, Inc.",7.20M,-2.22%,123914,22.69M
248,GXAI,Gaxos.ai Inc.,6.96M,-19.07%,370492,-
249,CNET,ZW Data Action Technologies Inc.,6.84M,2.11%,11929,29.74M
250,CPOP,"Pop Culture Group Co., Ltd",6.34M,-,28659,18.54M
251,MGOL,MGO Global Inc.,6.14M,-5.10%,92824,4.47M
252,MSGM,Motorsport Games Inc.,5.74M,0.47%,16408,8.93M
253,ADD,"Color Star Technology Co., Ltd.",5.52M,2.85%,160622,-
254,BAOS,Baosheng Media Group Holdings Limited,5.39M,-3.40%,13476,3.46M
255,MGAM,Mobile Global Esports Inc.,4.98M,1.69%,52813,-
256,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",4.81M,-1.34%,205285,368.81M
257,TC,TuanChe Limited,2.80M,-7.19%,37147,25.71M
258,ONFO,"Onfolio Holdings, Inc.",2.24M,0.71%,47311,5.10M
259,GROM,"Grom Social Enterprises, Inc.",2.13M,12.80%,422706,4.70M
